Epoch, LearningRate, WeightDecay,Loss, LossCount, LossCam, TotalCount, Difference,Overestimate, Underestimate, mae, mse
73,0.000999,0.01,tensor(2.3879, device='cuda:0'),tensor(1.9645, device='cuda:0'),tensor(0.4234, device='cuda:0'),5025.0,64.1265087890625,31.7618701171875,32.36464111328125,2.640115737915039,11.126402854919434,
74,0.000999,0.01,tensor(3.2664, device='cuda:0'),tensor(2.1910, device='cuda:0'),tensor(1.0754, device='cuda:0'),5025.0,65.763076171875,31.521806640625,34.2412744140625,3.294114351272583,14.6920804977417,
75,0.000999,0.01,tensor(3.0933, device='cuda:0'),tensor(2.3988, device='cuda:0'),tensor(0.6945, device='cuda:0'),5025.0,60.9986572265625,28.6522265625,32.34642578125,3.419989824295044,20.422473907470703,
76,0.000999,0.01,tensor(3.3631, device='cuda:0'),tensor(2.8149, device='cuda:0'),tensor(0.5482, device='cuda:0'),5025.0,68.053173828125,34.4746533203125,33.578525390625,2.862635612487793,13.328483581542969,
77,0.000999,0.01,tensor(3.2673, device='cuda:0'),tensor(2.8092, device='cuda:0'),tensor(0.4581, device='cuda:0'),5025.0,67.2491015625,31.8310595703125,35.41803955078125,3.277803421020508,14.691726684570312,
78,0.000999,0.01,tensor(3.5840, device='cuda:0'),tensor(2.5418, device='cuda:0'),tensor(1.0422, device='cuda:0'),5025.0,64.532490234375,28.61139892578125,35.92109130859375,3.566758632659912,19.165767669677734,
79,0.000999,0.01,tensor(2.5551, device='cuda:0'),tensor(2.3099, device='cuda:0'),tensor(0.2452, device='cuda:0'),5025.0,66.251162109375,33.0212890625,33.22988037109375,3.041966438293457,12.99870491027832,
80,0.000999,0.01,tensor(2.6682, device='cuda:0'),tensor(2.1909, device='cuda:0'),tensor(0.4774, device='cuda:0'),5025.0,65.36822265625,32.54885009765625,32.8193701171875,4.001694679260254,18.792009353637695,
81,0.000999,0.01,tensor(2.4417, device='cuda:0'),tensor(2.1848, device='cuda:0'),tensor(0.2569, device='cuda:0'),5025.0,65.578896484375,31.74046630859375,33.83843505859375,2.4664525985717773,9.552043914794922,
82,0.000999,0.01,tensor(3.0288, device='cuda:0'),tensor(2.4752, device='cuda:0'),tensor(0.5537, device='cuda:0'),5025.0,67.533525390625,30.40610107421875,37.1274267578125,3.838893175125122,20.066455841064453,
